,Date,Ticker,GICS Sector,GICS Sub-Industry,Close,Volume,Indicator_type,Indicator_trend,Trend,1d_pred,3d_pred,5d_pred,10d_pred
0,2019-07-05,ATVI,Communication Services,Interactive Home Entertainment,48.15,6379600.0,Hammer,Bearish,False,46.47,46.84000015258789,47.20000076293945,45.13999938964844
1,2019-07-22,ATVI,Communication Services,Interactive Home Entertainment,45.57,3771800.0,Hammer,Bullish,True,45.92,47.189998626708984,48.45000076293945,46.099998474121094
2,2019-07-23,ATVI,Communication Services,Interactive Home Entertainment,45.92,3774300.0,Hammer,Bullish,False,46.86,47.9900016784668,48.290000915527344,46.59000015258789
3,2019-07-25,ATVI,Communication Services,Interactive Home Entertainment,47.19,4354000.0,Hammer,Bearish,False,47.99,48.290000915527344,50.189998626708984,49.33000183105469
4,2019-08-22,ATVI,Communication Services,Interactive Home Entertainment,49.08,4001800.0,Hammer,Bearish,False,47.33,51.09000015258789,50.959999084472656,54.58000183105469
5,2019-09-18,ATVI,Communication Services,Interactive Home Entertainment,55.12,5433300.0,Hammer,Bearish,True,55.01,54.18000030517578,54.939998626708984,52.25
6,2019-10-15,ATVI,Communication Services,Interactive Home Entertainment,55.56,6826700.0,Hammer,Bullish,False,55.59,54.540000915527344,54.52000045776367,54.0
7,2019-10-31,ATVI,Communication Services,Interactive Home Entertainment,56.03,6621600.0,Hammer,Bullish,False,55.82,55.540000915527344,54.54999923706055,52.70000076293945
8,2020-06-02,ATVI,Communication Services,Interactive Home Entertainment,72.98,6518500.0,Hammer,Bullish,False,69.92,69.43000030517578,72.0,73.0
9,2020-07-08,ATVI,Communication Services,Interactive Home Entertainment,79.28,4863400.0,Hammer,Bullish,True,80.64,77.94999694824219,79.1500015258789,81.0999984741211
10,2020-09-28,ATVI,Communication Services,Interactive Home Entertainment,81.95,3838100.0,Hammer,Bullish,False,80.78,82.68000030517578,79.98999786376953,81.05999755859375
11,2020-11-27,ATVI,Communication Services,Interactive Home Entertainment,78.14,3382500.0,Hammer,Bullish,False,79.48,79.1500015258789,80.87999725341797,83.68000030517578
12,2020-12-01,ATVI,Communication Services,Interactive Home Entertainment,79.93,5794200.0,Hammer,Bearish,False,79.15,80.87999725341797,83.62999725341797,86.91999816894531
13,2021-01-05,ATVI,Communication Services,Interactive Home Entertainment,90.69,4544100.0,Hammer,Bullish,True,88.0,91.30000305175781,89.25,95.12000274658203
